City,Date,Avg_AQI
Amaravati,2019-07-02T00:00:00.000+0000,66
Amaravati,2019-07-03T00:00:00.000+0000,68
Amaravati,2019-07-04T00:00:00.000+0000,68
Amaravati,2019-07-05T00:00:00.000+0000,70
Amaravati,2019-07-06T00:00:00.000+0000,72
Amaravati,2019-07-07T00:00:00.000+0000,43
Amaravati,2019-07-08T00:00:00.000+0000,35
Amaravati,2019-07-09T00:00:00.000+0000,37
Amaravati,2019-07-10T00:00:00.000+0000,75
Amaravati,2019-07-11T00:00:00.000+0000,40
Amaravati,2019-07-12T00:00:00.000+0000,70
Amaravati,2019-07-13T00:00:00.000+0000,48
Amaravati,2019-07-14T00:00:00.000+0000,41
Amaravati,2019-07-15T00:00:00.000+0000,48
Amaravati,2019-07-16T00:00:00.000+0000,39
Amaravati,2019-07-17T00:00:00.000+0000,55
Amaravati,2019-07-18T00:00:00.000+0000,53
Amaravati,2019-07-19T00:00:00.000+0000,46
Amaravati,2019-07-20T00:00:00.000+0000,47
Amaravati,2019-07-21T00:00:00.000+0000,45
Amaravati,2019-07-22T00:00:00.000+0000,39
Amaravati,2019-07-23T00:00:00.000+0000,35
Amaravati,2019-07-26T00:00:00.000+0000,35
Amaravati,2019-07-27T00:00:00.000+0000,65
Amaravati,2019-07-28T00:00:00.000+0000,36
Amaravati,2019-07-29T00:00:00.000+0000,68
Amaravati,2019-07-30T00:00:00.000+0000,28
Amaravati,2019-07-31T00:00:00.000+0000,29
Amaravati,2019-08-01T00:00:00.000+0000,34
Amaravati,2019-08-02T00:00:00.000+0000,68
Amaravati,2019-08-03T00:00:00.000+0000,24
Amaravati,2019-08-05T00:00:00.000+0000,31
Amaravati,2019-08-06T00:00:00.000+0000,32
Amaravati,2019-08-07T00:00:00.000+0000,66
Amaravati,2019-08-08T00:00:00.000+0000,27
Amaravati,2019-08-09T00:00:00.000+0000,32
Amaravati,2019-08-10T00:00:00.000+0000,70
Amaravati,2019-08-11T00:00:00.000+0000,76
Amaravati,2019-08-15T00:00:00.000+0000,51
Amaravati,2019-08-16T00:00:00.000+0000,49
Amaravati,2019-08-17T00:00:00.000+0000,40
Amaravati,2019-08-28T00:00:00.000+0000,92
Amaravati,2019-08-29T00:00:00.000+0000,47
Amaravati,2019-08-30T00:00:00.000+0000,37
Amaravati,2019-10-08T00:00:00.000+0000,50
Amaravati,2019-10-09T00:00:00.000+0000,78
Amaravati,2019-10-10T00:00:00.000+0000,45
Amaravati,2019-10-11T00:00:00.000+0000,43
Amaravati,2019-10-12T00:00:00.000+0000,72
Amaravati,2019-10-13T00:00:00.000+0000,46
Amaravati,2019-10-14T00:00:00.000+0000,74
Amaravati,2019-10-15T00:00:00.000+0000,55
Amaravati,2019-10-16T00:00:00.000+0000,72
Amaravati,2019-10-17T00:00:00.000+0000,51
Amaravati,2019-10-18T00:00:00.000+0000,43
Amaravati,2019-10-19T00:00:00.000+0000,41
Amaravati,2019-10-20T00:00:00.000+0000,52
Amaravati,2019-10-21T00:00:00.000+0000,72
Amaravati,2019-10-22T00:00:00.000+0000,44
Amaravati,2019-10-23T00:00:00.000+0000,71
Amaravati,2019-10-24T00:00:00.000+0000,40
Amaravati,2019-10-25T00:00:00.000+0000,39
Amaravati,2019-10-26T00:00:00.000+0000,69
Amaravati,2019-10-27T00:00:00.000+0000,49
Amaravati,2019-10-28T00:00:00.000+0000,67
Amaravati,2019-10-29T00:00:00.000+0000,48
Amaravati,2019-10-30T00:00:00.000+0000,48
Amaravati,2019-10-31T00:00:00.000+0000,45
Amaravati,2019-11-01T00:00:00.000+0000,64
Amaravati,2019-11-02T00:00:00.000+0000,49
Amaravati,2019-11-03T00:00:00.000+0000,74
Amaravati,2019-11-04T00:00:00.000+0000,94
Amaravati,2019-11-05T00:00:00.000+0000,122
Amaravati,2019-11-06T00:00:00.000+0000,190
Amaravati,2019-11-07T00:00:00.000+0000,198
Amaravati,2019-11-08T00:00:00.000+0000,174
Amaravati,2019-11-09T00:00:00.000+0000,168
Amaravati,2019-11-10T00:00:00.000+0000,126
Amaravati,2019-11-11T00:00:00.000+0000,77
Amaravati,2019-11-12T00:00:00.000+0000,94
Amaravati,2019-11-13T00:00:00.000+0000,73
Amaravati,2019-11-14T00:00:00.000+0000,101
Amaravati,2019-11-15T00:00:00.000+0000,100
Amaravati,2019-11-16T00:00:00.000+0000,115
Amaravati,2019-11-17T00:00:00.000+0000,127
Amaravati,2019-11-18T00:00:00.000+0000,90
Amaravati,2019-11-19T00:00:00.000+0000,98
Amaravati,2019-11-20T00:00:00.000+0000,162
Amaravati,2019-11-21T00:00:00.000+0000,141
Amaravati,2019-11-22T00:00:00.000+0000,94
Amaravati,2019-11-23T00:00:00.000+0000,97
Amaravati,2019-11-24T00:00:00.000+0000,136
Amaravati,2019-11-25T00:00:00.000+0000,167
Amaravati,2019-11-26T00:00:00.000+0000,174
Amaravati,2019-11-27T00:00:00.000+0000,151
Amaravati,2019-11-28T00:00:00.000+0000,121
Amaravati,2019-11-29T00:00:00.000+0000,78
Amaravati,2019-11-30T00:00:00.000+0000,79
Amaravati,2019-12-02T00:00:00.000+0000,98
Amaravati,2019-12-03T00:00:00.000+0000,100
Amaravati,2019-12-04T00:00:00.000+0000,156
Amaravati,2019-12-05T00:00:00.000+0000,160
Amaravati,2019-12-06T00:00:00.000+0000,185
Amaravati,2019-12-10T00:00:00.000+0000,83
Amaravati,2019-12-11T00:00:00.000+0000,86
Amaravati,2019-12-12T00:00:00.000+0000,72
Amaravati,2019-12-13T00:00:00.000+0000,66
Amaravati,2019-12-14T00:00:00.000+0000,64
Amaravati,2019-12-15T00:00:00.000+0000,73
Amaravati,2019-12-16T00:00:00.000+0000,76
Amaravati,2019-12-17T00:00:00.000+0000,96
Amaravati,2019-12-18T00:00:00.000+0000,137
Amaravati,2019-12-19T00:00:00.000+0000,138
Amaravati,2019-12-20T00:00:00.000+0000,188
Amaravati,2019-12-21T00:00:00.000+0000,166
Amaravati,2019-12-22T00:00:00.000+0000,162
Amaravati,2019-12-23T00:00:00.000+0000,147
Amaravati,2019-12-24T00:00:00.000+0000,138
Amaravati,2019-12-25T00:00:00.000+0000,194
Amaravati,2019-12-26T00:00:00.000+0000,114
Amaravati,2019-12-27T00:00:00.000+0000,77
Amaravati,2019-12-28T00:00:00.000+0000,79
Amaravati,2019-12-29T00:00:00.000+0000,133
Amaravati,2019-12-30T00:00:00.000+0000,131
Amaravati,2019-12-31T00:00:00.000+0000,87
Amaravati,2020-01-01T00:00:00.000+0000,96
Amaravati,2020-01-02T00:00:00.000+0000,82
Amaravati,2020-01-03T00:00:00.000+0000,76
Amaravati,2020-01-04T00:00:00.000+0000,47
Amaravati,2020-01-05T00:00:00.000+0000,55
Amaravati,2020-01-06T00:00:00.000+0000,66
Amaravati,2020-01-07T00:00:00.000+0000,109
Amaravati,2020-01-08T00:00:00.000+0000,103
Amaravati,2020-01-09T00:00:00.000+0000,78
Amaravati,2020-01-10T00:00:00.000+0000,70
Amaravati,2020-01-11T00:00:00.000+0000,110
Amaravati,2020-01-12T00:00:00.000+0000,147
Amaravati,2020-01-13T00:00:00.000+0000,177
Amaravati,2020-01-14T00:00:00.000+0000,168
Amaravati,2020-01-15T00:00:00.000+0000,163
Amaravati,2020-01-16T00:00:00.000+0000,108
Amaravati,2020-01-17T00:00:00.000+0000,82
