PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
119.5,165.5,0.55,30.23,14.75,0,5.95,33.8
114,162.75,2.25,39.45,15.95,0.08,6.2,32.35
121.25,175.5,2.7,34.95,18.38,0.1,6.9,48.02
124.5,179.75,2.55,31.12,17.45,0.1,13.92,86.75
117,192,1.45,21.85,16.82,0.1,29.95,139.15
99,150,1.15,20.9,17.15,0.1,34.9,147.95
107.25,194.25,67.25,111.77,12.83,0.1,143.62,148.47
104.5,177.25,3.05,61.93,19.67,0.15,156.67,137.2
90.5,164,1.97,36.8,20.43,0.2,88.2,152.38
79.25,144,0.83,23,21.07,0.13,26.47,161.73
80.5,134.25,0.52,19.08,14.02,0.1,20.52,165.12
99,161.25,1.45,25.7,15.28,0.1,18.88,143.57
123.25,201.25,1.35,37.15,15.17,0.1,18.8,129.85
126.75,224,2.58,54.62,15.6,0.08,15.6,79.38
148.75,251.75,2.23,74.57,19.05,0.05,15.45,50.97
183.25,287.25,2.85,61.25,19.98,0.03,13.83,58.82
171.25,264.75,2.58,55.27,30.9,0.08,6.95,37.75
185.5,281.25,1.38,50.55,28.3,0.32,4.95,77.4
156.5,221.25,1.88,56.7,19.4,0.68,8,53.9
167.75,244.5,0.58,47.78,17.35,0.2,9.1,32.82
184,268.25,0.48,59.62,17.38,0,10.25,21.55
194.75,267.5,2.18,66.7,16.9,0,9.95,14.73
173,240,0.92,41.83,15.95,0.03,8.1,35.77
147.5,202.75,1.35,41.77,18.45,0.13,8.38,36.28
157.5,221.5,2.55,51.85,22.82,0.23,9.32,30.35
168.25,243.25,7.52,59.18,18.68,0.37,9.6,21.08
152.5,263.25,6.58,51.9,18.65,0.08,18.8,60.27
153.25,246.25,2.55,35.87,19.05,0.1,25.4,107.3
142,238,2.2,32.15,17.85,0.1,29.4,133.3
105.75,200.5,68.75,119.97,16.7,0.61,188.88,131.8
67.75,127.5,2.65,28.38,17.03,0.38,64.13,125.93
51.25,103.75,2.4,24.28,17,0.33,17.78,128.88
48.5,114,1.55,28.05,12.35,0.77,16.45,123.98
51,113.75,1.72,45.23,11.35,0.17,13.17,89.67
64.75,169,1.55,55.23,15.83,0.05,14,71.05
79,220,2.33,68.18,23.4,0.03,8.22,46.02
85,223,3.38,68.15,25.45,0.05,8.27,39.7
100,206.5,3.68,72.53,12.08,0.95,11.3,21.1
101.25,205,6.02,78.05,13.73,0.05,11.83,20.07
81.75,175.5,4.3,71.67,12.88,0.05,9.43,12.28
79.75,158.75,1.22,42.37,16,0.08,14.75,42.62
94.75,156.5,0.7,37.32,23.92,0.08,11.7,29.4
97.25,151.5,0.43,36.15,19.6,0.25,13.1,22.52
96.25,147,0.53,28.88,17.45,0.08,11.65,23.05
89.75,138.5,1.08,39.47,16.25,0.1,10.22,18.15
85.75,136,1.7,26.02,15.97,0.05,10.23,27.47
83,124.25,1.23,22.18,16.62,0.1,10.33,33.32
77,125,2.45,28.98,17.35,0.1,10.3,31.35
82.75,128.25,1.9,22.28,17.18,0.1,14.35,54.9
78.75,131.25,1.45,21.98,23.35,0.08,16.3,81.35
78,138,6.73,54.3,28.45,0,68.3,96.53
71.5,180.5,67.82,108.5,9.88,0.1,114.7,115.65
59.75,147.5,1.95,17.8,13.85,0.08,14,122
44.5,101.25,0.83,14.72,12.5,0.08,10.55,117.62
37,85.75,10.68,49.17,9.4,0.1,15.5,102.42
40.5,96.5,2.3,42.1,11.42,0.1,50.85,99.98
54.75,118,3.5,58.87,10.03,0.1,14.37,79.87
68.25,138,17.1,77.02,12.1,0.08,15.22,66.63
79.75,165,7.55,75.85,12.67,0.05,15.83,40.68
88,189.5,4.6,76.42,12.17,0.03,19,43.13
70.25,151.5,0.65,37.2,14.02,0.05,17.38,45.57
70.5,143,0.88,36.1,20.7,0.1,15.6,45.57
68.25,150.25,10,86,25.08,0,11.85,16.68
65.75,148,2.47,64.75,14.88,0.58,14.85,25.47
66.25,132.5,1.03,45.1,11.17,0.18,17.08,31.35
67.75,132,0.38,37.38,10.12,0.03,13.35,27.42
61.5,106,1.12,47.6,10.17,0.03,12.22,15.2
61.75,96,2.12,44.1,11.65,0.05,14.57,28.9
57.5,83.25,0.18,26.93,13.1,0.05,14.03,36.73
53,75.5,0.83,19.7,14.45,0.1,7.38,33.82
51.25,72.25,2.45,23.6,13.7,0.1,6.68,35.77
54,83.25,1.7,19.43,13.93,0.1,10.85,57.3
51.75,97.75,1.65,23.95,13,0.1,20.97,84.3
49.25,96.5,1.72,19.33,12.52,0.1,25.73,106.35
32,74.75,1.15,14.48,10.9,0.1,7.58,117.1
23.25,64.5,1.43,12.6,11.07,0.1,10.88,112.72
23.5,53.25,1.78,17.6,11.77,0.1,10.75,118.1
22,50.75,1.58,16.07,11.2,0.1,10.15,124.93
22.25,50.5,1.5,17,10.75,0.1,11.03,120.57
25.25,58.25,0.82,15.12,10.08,0.1,10.88,126.92
32,77,0.47,32.13,9.95,0.1,10.9,106.8
52.5,174.5,0.35,35.08,11.15,0.1,20.1,95.55
70.25,163,2.2,60.38,12.3,0.03,23.95,56.35
67.5,155.5,2.22,47.02,12.25,0.03,15.8,60.75
62.5,129.75,1.47,46.23,12.83,0.08,13.87,46.55
66.75,141.5,0.97,40.7,13.47,0.1,12.1,49.98
64,118.75,0.55,35.28,16.35,0.1,14.22,65.18
57,99.5,0.2,24.4,21.13,0.3,12.93,68.6
54.75,100.75,0.82,32.23,18.3,0.38,13.53,47.53
57.5,117.75,1.95,62.37,22.65,0.38,7.73,20.57
59.75,137.75,3.05,66.42,26,0.12,2.35,5.88
63.75,116.75,1.03,51.52,20.47,0.48,1.3,25
70,111.75,0.52,26.45,11,0.38,10.1,26.45
72.75,115.75,1.08,35.17,9.88,0.05,8.85,12.75
72,112,2.83,29.8,10.05,0.03,7.85,22.53
60,95,3.37,25.35,11.8,0.1,13.7,50.95
59.25,107.75,3.68,29.65,23,0.13,18.77,80.38
40.5,93,2.13,29.2,17.75,0.18,12.97,101.93
38,89,68.03,93.75,8.4,0.1,67.1,133.75
36,86.75,1.25,17.05,13.13,0.1,37.1,153.35
30.5,81.25,0.53,16.2,12.93,0.08,30.5,165.15
33.75,86.5,0.95,21.4,12.25,0.08,32.72,170.03
40.25,94.75,0.6,25.9,11.85,0.1,32.93,168.57
47.5,120.25,3.25,69.3,10.4,0.1,29.28,109.75
53.75,154,6.88,83.82,11.07,0.1,24.08,75.92
57.5,139.25,2.3,36.72,14.85,0.08,14.3,60.77
