Year,Month,Day,avg(AQI)
2017,10,6,101.30434782608695
2017,10,7,94.04545454545455
2017,10,8,100.1875
2017,10,9,117.46153846153847
2017,10,10,104.22727272727273
2017,10,11,113.04347826086956
2017,10,12,103.31818181818181
2017,10,13,150.4090909090909
2017,10,14,123.82608695652173
2017,10,15,99.71428571428571
2017,10,17,153.7391304347826
2017,10,18,149.77272727272728
2017,10,19,151.6086956521739
2017,10,20,341.609756097561
2017,10,21,232.4468085106383
2017,10,22,227.3111111111111
2017,10,23,245.5581395348837
2017,10,24,189.94285714285715
2017,10,25,242.65217391304347
2017,10,26,317.7391304347826
2017,10,27,307.875
2017,10,28,338.4166666666667
2017,10,29,260
2017,10,30,339.14285714285717
2017,10,31,159.92156862745097
2017,11,1,176.19827586206895
2017,11,2,186.40869565217392
2017,11,3,188.48275862068965
2017,11,4,159.40869565217392
2017,11,5,130.8108108108108
2017,11,6,99.1923076923077
2017,11,7,119.31538461538462
2017,11,8,106.33628318584071
2017,11,9,122.37226277372262
2017,11,10,132.55555555555554
2017,11,11,156.5857142857143
2017,11,12,150.12878787878788
2017,11,13,144.74264705882354
2017,11,14,118.42446043165468
2017,11,15,105.13178294573643
2017,11,16,93.86029411764706
2017,11,17,105.12820512820512
2017,11,18,115.83116883116882
2017,11,19,126.37837837837837
2017,11,20,129
2017,11,21,136
2017,11,22,138.80434782608697
2017,11,23,165.93233082706766
2017,11,24,174.28571428571428
2017,11,25,170.47701149425288
2017,11,26,178.95104895104896
2017,11,27,184.64625850340136
2017,11,28,188
2017,11,29,187.19642857142858
2017,11,30,168.74074074074073
2017,12,1,166.1195652173913
2017,12,2,165.14673913043478
2017,12,3,171.98395721925132
2017,12,4,162.63783783783785
2017,12,5,152.22598870056498
2017,12,6,129.58490566037736
2017,12,7,150.7134831460674
2017,12,8,183.43548387096774
2017,12,9,165.68333333333334
2017,12,10,147.88484848484848
2017,12,11,131.3926380368098
2017,12,12,149.81333333333333
2017,12,13,139.67096774193547
2017,12,14,123.015625
2017,12,15,122.04
2017,12,16,135.47445255474452
2017,12,17,159.31944444444446
2017,12,18,156.1865671641791
2017,12,19,148.95
2017,12,20,161.51538461538462
2017,12,21,164.64963503649636
2017,12,22,165.83636363636364
2017,12,23,162.49707602339183
2017,12,24,192.71891891891892
2017,12,25,202.8150289017341
2017,12,26,220.17073170731706
2017,12,27,199.34337349397592
2017,12,28,175.45454545454547
2017,12,29,165.0495867768595
2017,12,30,149.45112781954887
2017,12,31,153.22222222222223
2018,1,1,152.94366197183098
2018,1,2,158.35256410256412
2018,1,3,163.86486486486487
2018,1,4,185.78125
2018,1,5,180.856
2018,1,6,178.49032258064517
2018,1,7,165.33939393939394
2018,1,8,159.6751592356688
2018,1,9,167.52121212121213
2018,1,10,177.27607361963192
2018,1,11,185.48170731707316
2018,1,12,187.85534591194968
2018,1,13,184.9157894736842
2018,1,14,184.5846994535519
2018,1,15,169.10160427807486
2018,1,16,155.07865168539325
2018,1,17,149.03208556149733
2018,1,18,140.73544973544975
2018,1,19,132.30366492146598
2018,1,20,144.46315789473684
2018,1,21,151.06806282722513
2018,1,22,149.10695187165774
2018,1,23,134.71779141104295
2018,1,24,124.21153846153847
2018,1,25,135.77380952380952
2018,1,26,146.8
2018,1,27,147.64
2018,1,28,144.77906976744185
2018,1,29,140.81460674157304
2018,1,30,149.45762711864407
2018,1,31,146.9109947643979
2018,2,1,137.1157894736842
2018,2,2,132.79679144385025
2018,2,3,129.53403141361255
2018,2,4,126.18539325842697
2018,2,5,128.28571428571428
2018,2,6,120.45810055865921
2018,2,7,127.49685534591195
2018,2,8,118.98224852071006
2018,2,9,110.68387096774194
2018,2,10,114.12230215827338
2018,2,11,118.13709677419355
2018,2,12,106.74137931034483
2018,2,13,81.7156862745098
2018,2,14,90.63503649635037
2018,2,15,114.16571428571429
2018,2,16,117.86206896551724
